mass,ctau,acc_allbins,trigsf_unc,oneminuseff
1.25,25.0,0.01693261091567338,0.127,0.2162540868752919
1.25,30.0,0.014237318274716224,0.127,0.2162540868752919
1.25,35.0,0.012282054776010859,0.127,0.2162540868752919
1.25,40.0,0.010798917752127744,0.127,0.2162540868752919
1.25,45.0,0.009635339899627856,0.127,0.2162540868752919
1.25,50.0,0.008698080503588721,0.127,0.2162540868752919
1.25,55.0,0.007926980416196569,0.127,0.2162540868752919
1.25,60.0,0.007281456133512423,0.127,0.2162540868752919
1.25,65.0,0.006733142616544836,0.127,0.2162540868752919
1.25,70.0,0.006261623254190956,0.127,0.2162540868752919
1.25,75.0,0.0058518263352098044,0.127,0.2162540868752919
1.25,80.0,0.005492360498319586,0.127,0.2162540868752919
1.25,85.0,0.005174500877232022,0.127,0.2162540868752919
1.25,90.0,0.004891424131323366,0.127,0.2162540868752919
1.25,95.0,0.004637708105724569,0.127,0.2162540868752919
1.25,100.0,0.004409013532637489,0.127,0.2162540868752919
1.5,0.1,0.12643001682782104,0.085,0.23449128976854505
1.5,0.2,0.1804580979174449,0.085,0.23449128976854505
1.5,0.4,0.21075258703054509,0.085,0.23449128976854505
1.5,0.6,0.21329838986307864,0.085,0.23449128976854505
1.5,0.8,0.20782488066075688,0.085,0.23449128976854505
1.5,1.0,0.19955928551801672,0.085,0.23449128976854505
1.5,2.0,0.15587502174404258,0.314,0.20529283450631763
1.5,4.0,0.10393227560148056,0.314,0.20529283450631763
1.5,6.0,0.0773499145481543,0.314,0.20529283450631763
1.5,8.0,0.06149955828210407,0.314,0.20529283450631763
1.5,10.0,0.05101438480499405,0.314,0.20529283450631763
1.5,15.0,0.03669035998253754,0.314,0.19804058782365286
1.5,20.0,0.028218490830779423,0.314,0.19804058782365286
1.5,25.0,0.022923275699759132,0.314,0.19804058782365286
1.5,30.0,0.01930072746785971,0.314,0.19804058782365286
1.5,35.0,0.016666632853723846,0.314,0.19804058782365286
1.5,40.0,0.01466503518379218,0.314,0.19804058782365286
1.5,45.0,0.013092597462091052,0.314,0.19804058782365286
1.5,50.0,0.011824662755856112,0.314,0.19804058782365286
1.5,55.0,0.010780611647967495,0.314,0.19804058782365286
1.5,60.0,0.009905954650930604,0.314,0.19804058782365286
