mass,ctau = 1,ctau = 10,ctau = 100,what
0.316,2.2217395474236952e-08,7.20046620469412e-08,6.602337460076811e-07,BRbrULupup
0.316,2.3989900005611298e-09,8.146064665913189e-09,6.873918619833633e-08,BRbrULdowndown
0.316,4.132873021090529e-09,1.4156066692157956e-08,1.4522687441233328e-07,BRbrULobs
0.316,-0.0231245,-0.026054900000000002,-0.014190399999999999,Significance
0.316,0.0,0.0,0.0,posSignificance
0.318,829.6838182066937,2881.2840708801627,28030.778572844498,xsecBRbrUL
0.318,183.34429413645282,132.05885273509122,117.5483663168961,nevtUL
0.318,370.0614159735762,266.56828211887483,237.24609021866863,nevtULup
0.318,100.68272722001792,73.1996321174234,61.041755410492755,nevtULdown
0.318,557.1496580107735,401.3273072724326,357.20173703062636,nevtULupup
0.318,64.45484651281502,46.42481317800629,37.18388621836354,nevtULdowndown
0.318,125.88615492502892,91.69240960524117,81.20272955663438,nevtULobs
0.318,6.238224197042808e-09,2.166379000661777e-08,2.107577336304097e-07,BRbrUL
0.318,1.2591207653291801e-08,4.372958848758515e-08,4.253691467932825e-07,BRbrULup
0.318,3.4256938735204427e-09,1.2008142020850333e-08,1.0944449872195346e-07,BRbrULdown
0.318,1.8956818341945355e-08,6.583633227612518e-08,6.404430015000509e-07,BRbrULupup
0.318,2.1930531573220094e-09,7.61582720851202e-09,6.66686559116125e-08,BRbrULdowndown
0.318,4.283231509465661e-09,1.5041817081914506e-08,1.4559201273645784e-07,BRbrULobs
0.318,-0.030053399999999997,-0.0234155,-0.019480599999999997,Significance
0.318,0.0,0.00216042,0.00166699,posSignificance
0.32,729.4161727659629,2243.665787957047,19788.7696890841,xsecBRbrUL
0.32,170.5708921565304,109.22617221097515,90.31399107580692,nevtUL
0.32,344.27226729927366,220.47728339032852,182.27090818469762,nevtULup
0.32,93.66035443621485,61.977596282148994,48.11426239745431,nevtULdown
0.32,518.3317419718052,331.94535231629396,274.415588268798,nevtULupup
