mass,ctau,acc_allbins,trigsf_unc,oneminuseff
1.5,1.0,0.010780047313065028,0.314,0.47299864314789686
1.5,2.0,0.009375528555549663,0.314,0.31108098949508645
1.5,4.0,0.008078963347636784,0.314,0.31108098949508645
1.5,6.0,0.006927469862529743,0.314,0.31108098949508645
1.5,8.0,0.006019157246014624,0.314,0.31108098949508645
1.5,10.0,0.0053042835321290985,0.314,0.31108098949508645
1.5,15.0,0.004011656649104453,0.127,0.30841121495327106
1.5,20.0,0.0032539494145451594,0.127,0.30841121495327106
1.5,25.0,0.002733627083420491,0.127,0.30841121495327106
1.5,30.0,0.002355445898211547,0.127,0.30841121495327106
1.5,35.0,0.002068582824988774,0.127,0.30841121495327106
1.5,40.0,0.0018436996914541319,0.127,0.30841121495327106
1.5,45.0,0.0016627487060336267,0.127,0.30841121495327106
1.5,50.0,0.0015140428145189525,0.127,0.30841121495327106
1.5,55.0,0.0013896904897623631,0.127,0.30841121495327106
1.5,60.0,0.0012841748016001414,0.127,0.30841121495327106
1.5,65.0,0.0011935248568146224,0.127,0.30841121495327106
1.5,70.0,0.0011148106795383713,0.127,0.30841121495327106
1.5,75.0,0.001045823721268352,0.127,0.30841121495327106
1.5,80.0,0.000984867946891089,0.127,0.30841121495327106
1.5,85.0,0.0009306195167813737,0.127,0.30841121495327106
1.5,90.0,0.0008820300995104804,0.127,0.30841121495327106
1.5,95.0,0.0008382588393085074,0.127,0.30841121495327106
1.5,100.0,0.0007986234552215794,0.127,0.30841121495327106
2.0,0.1,0.0018780658993584566,0.127,0.4949099451840251
2.0,0.2,0.0044543363456585345,0.127,0.4949099451840251
2.0,0.4,0.007727636814859318,0.127,0.4949099451840251
2.0,0.6,0.009423118401518592,0.127,0.4949099451840251
2.0,0.8,0.010315924295708245,0.127,0.4949099451840251
2.0,1.0,0.010779332159430513,0.127,0.4949099451840251
2.0,2.0,0.00951132496861032,0.127,0.31977926227127507
2.0,4.0,0.008508672871449833,0.127,0.31977926227127507
2.0,6.0,0.007511063103375869,0.127,0.31977926227127507
2.0,8.0,0.0066723653305808895,0.127,0.31977926227127507
2.0,10.0,0.00597985893774997,0.127,0.31977926227127507
2.0,15.0,0.00467116365242197,0.314,0.29380530973451324
2.0,20.0,0.0038461524980741525,0.314,0.29380530973451324
2.0,25.0,0.003262652670026224,0.314,0.29380530973451324
